Epoch,Learning_rate,Train_Energy_RMSE (eV/atom),Valid_Energy_RMSE (eV/atom),Train_Force_RMSE (eV/Å),Valid_Force_RMSE (eV/Å),Train_Stress_RMSE (kbar),Valid_Stress_RMSE (kbar),Train_Energy_MAE (eV/atom),Valid_Energy_MAE (eV/atom),Train_Force_MAE (eV/Å),Valid_Force_MAE (eV/Å),Train_Stress_MAE (kbar),Valid_Stress_MAE (kbar),Train_Energy_Loss,Valid_Energy_Loss,Train_Force_Loss,Valid_Force_Loss,Train_Stress_Loss,Valid_Stress_Loss,Train_TotalLoss,Valid_TotalLoss
1,0.004000,0.938310,0.912788,5.621653,7.463976,710.964125,461.081197,0.329004,0.197928,0.259614,0.224072,21.471593,19.091365,0.003240,0.001932,0.002517,0.002196,0.214680,0.190864,0.007904,0.006036
2,0.004000,0.782641,0.845052,5.382372,7.366633,571.828637,391.005257,0.170299,0.149258,0.225584,0.205726,18.979285,17.019673,0.001654,0.001445,0.002198,0.002021,0.189758,0.170292,0.005750,0.005169
3,0.004000,0.679966,0.777112,5.273811,7.266265,483.044961,231.139279,0.139504,0.126970,0.207235,0.189869,16.280786,13.191136,0.001347,0.001223,0.002020,0.001863,0.162773,0.132193,0.004995,0.004408
4,0.004000,0.601203,0.752118,5.106700,7.116826,419.611092,321.823351,0.121072,0.110652,0.188468,0.178202,14.394802,12.263248,0.001162,0.001061,0.001837,0.001749,0.143908,0.122992,0.004438,0.004040
5,0.004000,0.557939,0.731284,4.875893,6.818192,356.428836,161.056245,0.108003,0.100393,0.173078,0.164467,12.775836,10.439587,0.001032,0.000958,0.001685,0.001616,0.127714,0.104821,0.003994,0.003622
6,0.004000,0.516246,0.724820,4.601437,6.465609,373.050675,171.742726,0.097992,0.094437,0.162060,0.157556,11.752450,10.020437,0.000932,0.000899,0.001574,0.001551,0.117482,0.100633,0.003681,0.003456
7,0.004000,0.489346,0.712048,4.151023,5.781902,311.586964,138.019361,0.088940,0.091876,0.151809,0.151493,10.824874,9.395799,0.000842,0.000873,0.001470,0.001488,0.108208,0.094459,0.003394,0.003306
8,0.004000,0.462228,0.697117,3.444933,3.917873,261.313174,148.316722,0.082756,0.084233,0.143202,0.145929,10.208376,9.448325,0.000780,0.000797,0.001381,0.001431,0.102044,0.094952,0.003181,0.003178
9,0.004000,0.449795,0.701877,3.107834,4.399602,302.968860,163.267832,0.077830,0.086070,0.137453,0.137208,9.789999,9.169428,0.000731,0.000815,0.001325,0.001338,0.097865,0.092184,0.003034,0.003075
10,0.004000,0.436305,0.698335,2.760917,4.445957,250.789740,137.409943,0.074521,0.078481,0.132536,0.135544,9.591541,8.647749,0.000698,0.000739,0.001274,0.001318,0.095876,0.087007,0.002931,0.002927
11,0.004000,0.428750,0.694635,2.660610,2.474021,217.111821,145.253154,0.070711,0.075101,0.128000,0.126275,9.154973,8.538413,0.000660,0.000705,0.001227,0.001222,0.091511,0.085923,0.002802,0.002786
12,0.004000,0.422556,0.689838,2.477362,1.512405,204.607973,135.335900,0.067886,0.070894,0.123348,0.119204,8.826838,8.113458,0.000632,0.000663,0.001183,0.001147,0.088230,0.081720,0.002697,0.002628
