Epoch,Learning_rate,Train_Energy_RMSE (eV/atom),Valid_Energy_RMSE (eV/atom),Train_Force_RMSE (eV/Å),Valid_Force_RMSE (eV/Å),Train_Stress_RMSE (kbar),Valid_Stress_RMSE (kbar),Train_Energy_MAE (eV/atom),Valid_Energy_MAE (eV/atom),Train_Force_MAE (eV/Å),Valid_Force_MAE (eV/Å),Train_Stress_MAE (kbar),Valid_Stress_MAE (kbar),Train_Energy_Loss,Valid_Energy_Loss,Train_Force_Loss,Valid_Force_Loss,Train_Stress_Loss,Valid_Stress_Loss,Train_TotalLoss,Valid_TotalLoss
1,0.004000,0.916871,0.934067,5.582670,7.459986,699.826689,493.538874,0.300625,0.207741,0.247928,0.212556,21.314566,18.837787,0.002957,0.002029,0.002389,0.002057,0.213180,0.188339,0.007477,0.005969
2,0.004000,0.792429,0.869875,5.328169,7.274026,587.304115,414.332097,0.181880,0.168338,0.218119,0.201933,19.356638,16.799548,0.001770,0.001635,0.002114,0.001953,0.193599,0.167980,0.005820,0.005268
3,0.004000,0.657740,0.767673,4.909470,5.234374,431.602152,238.076255,0.146663,0.139175,0.197772,0.179075,16.109930,13.942418,0.001418,0.001343,0.001916,0.001736,0.161110,0.139477,0.004945,0.004474
4,0.004000,0.561102,0.738465,5.783611,5.481354,370.823493,196.982293,0.123050,0.117162,0.177403,0.166854,13.666786,11.646064,0.001182,0.001123,0.001718,0.001605,0.136647,0.116525,0.004266,0.003894
5,0.004000,0.499880,0.725968,3.575647,17.186012,313.289358,172.861172,0.103372,0.096740,0.158823,0.171975,12.036251,10.024462,0.000986,0.000920,0.001530,0.001591,0.120330,0.100307,0.003719,0.003514
6,0.004000,0.470590,0.705235,3.799817,2.803855,309.483208,170.054365,0.091834,0.093792,0.148440,0.138978,11.194946,9.885556,0.000870,0.000890,0.001424,0.001337,0.111913,0.098939,0.003414,0.003216
7,0.004000,0.446626,0.693094,3.703819,2.333227,261.778083,159.783542,0.083003,0.084848,0.140590,0.129658,10.337611,9.106411,0.000782,0.000801,0.001352,0.001239,0.103341,0.091132,0.003168,0.002952
8,0.004000,0.436303,0.713019,2.471673,6.788657,283.098265,181.238273,0.077167,0.080865,0.132864,0.132881,9.992486,9.561591,0.000724,0.000761,0.001270,0.001247,0.099895,0.095687,0.002993,0.002965
9,0.004000,0.435008,0.694608,3.900497,1.510150,256.900998,150.639975,0.072662,0.074722,0.129389,0.121635,9.594368,8.787547,0.000679,0.000700,0.001243,0.001164,0.095911,0.087955,0.002881,0.002743
10,0.004000,0.424228,0.690844,2.422139,4.144152,230.261814,151.398501,0.068602,0.070333,0.124100,0.124894,9.178688,8.589630,0.000639,0.000656,0.001185,0.001181,0.091768,0.085965,0.002742,0.002697
11,0.004000,0.418375,0.688812,2.569809,1.165629,217.744566,148.901915,0.065404,0.068050,0.120570,0.116490,8.791305,8.250118,0.000607,0.000634,0.001152,0.001106,0.087882,0.082580,0.002637,0.002566
12,0.004000,0.418527,0.697042,2.263531,5.065040,207.859057,143.493460,0.062776,0.070752,0.117787,0.121890,8.707657,8.189295,0.000581,0.000661,0.001123,0.001146,0.087039,0.081974,0.002574,0.002627
13,0.004000,0.416208,0.692856,2.642707,2.433804,239.384876,162.612200,0.060994,0.065872,0.115669,0.113449,8.561738,8.053261,0.000563,0.000612,0.001104,0.001075,0.085579,0.080605,0.002523,0.002493
14,0.004000,0.412218,0.701750,2.258583,4.798275,212.034239,161.016913,0.058597,0.064073,0.112370,0.116971,8.331956,8.302972,0.000539,0.000595,0.001071,0.001097,0.083286,0.083101,0.002443,0.002522
15,0.004000,0.416693,0.692040,2.655502,1.598882,203.067092,137.447763,0.057053,0.067814,0.112190,0.106739,8.110071,7.786418,0.000524,0.000631,0.001069,0.001015,0.081072,0.077941,0.002403,0.002426
16,0.004000,0.411173,0.689314,2.444086,0.648918,212.660605,145.810173,0.055128,0.061667,0.108625,0.104156,8.034429,7.807704,0.000505,0.000570,0.001034,0.000995,0.080306,0.078155,0.002341,0.002346
17,0.004000,0.416170,0.689717,2.068743,3.161724,185.531908,135.487359,0.054274,0.061639,0.106476,0.112382,7.842402,7.368735,0.000496,0.000570,0.001011,0.001062,0.078394,0.073769,0.002291,0.002369
