epoch,lr,trainset_Energy_MAE,trainset_Force_MAE,trainset_Stress_MAE,trainset_Energy_Loss,trainset_Force_Loss,trainset_Stress_Loss,trainset_TotalLoss,validset_Energy_MAE,validset_Force_MAE,validset_Stress_MAE,validset_Energy_Loss,validset_Force_Loss,validset_Stress_Loss,validset_TotalLoss,testset_Energy_MAE,testset_Force_MAE,testset_Stress_MAE,testset_Energy_Loss,testset_Force_Loss,testset_Stress_Loss,testset_TotalLoss
1,0.010000,0.332028,0.248165,21.706383,0.003271,0.002424,0.217027,0.007865,0.220290,0.211641,19.049152,0.002151,0.002089,0.189956,0.006140,0.223778,0.223150,21.061251,0.002201,0.002205,0.214629,0.006552
2,0.009950,0.197027,0.223723,20.137324,0.001921,0.002182,0.201339,0.006117,0.172508,0.203769,17.733376,0.001675,0.002009,0.176840,0.005452,0.173044,0.215788,19.664302,0.001693,0.002123,0.197882,0.005795
3,0.009900,0.167694,0.212795,17.742125,0.001628,0.002075,0.177390,0.005477,0.161390,0.187558,15.125614,0.001563,0.001846,0.150952,0.004919,0.157645,0.198888,17.009892,0.001535,0.001944,0.171063,0.005189
4,0.009850,0.148244,0.197024,15.652278,0.001434,0.001920,0.156489,0.004918,0.136362,0.183961,13.405073,0.001313,0.001809,0.133872,0.004461,0.133399,0.190569,15.383321,0.001295,0.001874,0.155993,0.004729
5,0.009800,0.130746,0.177746,13.961787,0.001259,0.001727,0.139580,0.004381,0.128853,0.178500,13.364904,0.001238,0.001752,0.133412,0.004324,0.125211,0.180792,15.238061,0.001218,0.001802,0.156366,0.004584
6,0.009750,0.116005,0.167338,12.766089,0.001112,0.001625,0.127623,0.004013,0.111471,0.160341,11.100359,0.001065,0.001569,0.110858,0.003742,0.107154,0.166869,12.562580,0.001032,0.001656,0.127461,0.003962
7,0.009700,0.102405,0.154887,11.399559,0.000976,0.001501,0.113962,0.003617,0.097034,0.148490,11.362262,0.000922,0.001449,0.113408,0.003505,0.091429,0.152300,12.146783,0.000872,0.001497,0.123763,0.003607
8,0.009650,0.093183,0.146835,10.802774,0.000884,0.001421,0.107996,0.003385,0.094652,0.143425,10.960633,0.000897,0.001397,0.109438,0.003389,0.087454,0.146882,11.801787,0.000830,0.001437,0.119099,0.003457
9,0.009600,0.086056,0.141061,10.108114,0.000813,0.001363,0.101049,0.003187,0.084997,0.142013,10.271214,0.000801,0.001385,0.102554,0.003212,0.076104,0.142376,10.837496,0.000718,0.001402,0.109307,0.003213
10,0.009550,0.080159,0.135434,9.775318,0.000754,0.001307,0.097723,0.003038,0.086001,0.133427,9.741481,0.000811,0.001295,0.097259,0.003079,0.077465,0.134846,10.846003,0.000731,0.001316,0.110160,0.003149
11,0.009500,0.075213,0.129673,9.406741,0.000705,0.001250,0.094036,0.002895,0.079716,0.128908,9.489293,0.000749,0.001253,0.094738,0.002949,0.071474,0.135518,10.520428,0.000671,0.001357,0.106058,0.003088
12,0.009450,0.071589,0.125405,9.051134,0.000668,0.001208,0.090480,0.002781,0.075132,0.128488,8.944812,0.000702,0.001251,0.089286,0.002846,0.067204,0.125198,9.766143,0.000629,0.001226,0.098967,0.002845
13,0.009400,0.068052,0.121334,8.914686,0.000633,0.001168,0.089113,0.002692,0.070927,0.120614,9.068750,0.000661,0.001168,0.090547,0.002734,0.062401,0.122934,9.806741,0.000581,0.001202,0.098359,0.002766
14,0.009350,0.065187,0.117745,8.556015,0.000605,0.001131,0.085529,0.002591,0.071117,0.121162,8.558851,0.000663,0.001175,0.085417,0.002692,0.064462,0.127985,9.762365,0.000600,0.001273,0.098067,0.002854
15,0.009300,0.063349,0.115814,8.420824,0.000586,0.001112,0.084178,0.002540,0.069510,0.120485,8.619650,0.000647,0.001169,0.086055,0.002677,0.061166,0.120027,9.891469,0.000569,0.001160,0.100193,0.002731
16,0.009250,0.061293,0.113306,8.258047,0.000566,0.001087,0.082547,0.002479,0.064791,0.111836,8.001943,0.000600,0.001081,0.079891,0.002480,0.057714,0.119756,8.985178,0.000532,0.001191,0.090170,0.002625
17,0.009200,0.058688,0.109121,7.886060,0.000540,0.001046,0.078827,0.002374,0.063742,0.111293,7.951554,0.000590,0.001075,0.079405,0.002459,0.057145,0.118356,8.928899,0.000527,0.001167,0.089346,0.002588
18,0.009150,0.057189,0.109116,7.821155,0.000525,0.001046,0.078180,0.002353,0.060855,0.110482,7.813267,0.000561,0.001067,0.078003,0.002409,0.055019,0.125666,8.744371,0.000506,0.001280,0.087719,0.002663
19,0.009100,0.055841,0.105358,7.725722,0.000512,0.001007,0.077225,0.002292,0.061741,0.108986,7.500736,0.000570,0.001054,0.074899,0.002373,0.053791,0.108769,8.671334,0.000494,0.001052,0.087299,0.002419
20,0.009050,0.054281,0.105254,7.658948,0.000496,0.001008,0.076556,0.002270,0.060648,0.112503,7.865119,0.000559,0.001088,0.078517,0.002433,0.055091,0.123338,9.395069,0.000506,0.001245,0.094499,0.002696
21,0.009000,0.053305,0.103733,7.610621,0.000487,0.000991,0.076073,0.002239,0.059226,0.109432,7.432562,0.000545,0.001055,0.074213,0.002342,0.052966,0.118250,8.921010,0.000488,0.001170,0.090522,0.002563
22,0.008950,0.052442,0.102433,7.448947,0.000478,0.000979,0.074456,0.002202,0.057223,0.109422,7.552564,0.000525,0.001057,0.075375,0.002336,0.048195,0.109594,8.538058,0.000439,0.001063,0.086398,0.002366
23,0.008900,0.051404,0.100250,7.369201,0.000468,0.000957,0.073660,0.002161,0.057853,0.109573,7.586384,0.000531,0.001060,0.075748,0.002349,0.050875,0.116694,8.856066,0.000465,0.001163,0.089098,0.002519
24,0.008850,0.050043,0.099576,7.148798,0.000454,0.000950,0.071458,0.002119,0.057446,0.101898,7.692851,0.000527,0.000980,0.076815,0.002275,0.050415,0.109320,8.743678,0.000460,0.001078,0.087772,0.002415
25,0.008800,0.049782,0.099128,7.253224,0.000452,0.000946,0.072500,0.002123,0.055146,0.108262,7.575525,0.000505,0.001045,0.075631,0.002306,0.048343,0.111159,8.706908,0.000438,0.001095,0.087537,0.002409
26,0.008750,0.048379,0.097317,7.113786,0.000438,0.000928,0.071107,0.002077,0.053738,0.105138,7.389051,0.000490,0.001015,0.073788,0.002243,0.044653,0.104757,8.534199,0.000403,0.001010,0.086554,0.002278
27,0.008700,0.047739,0.095437,7.006313,0.000432,0.000909,0.070032,0.002041,0.053551,0.103522,7.118176,0.000488,0.000998,0.071076,0.002197,0.044644,0.107820,8.216693,0.000401,0.001037,0.082356,0.002261
28,0.008650,0.047370,0.094830,6.996348,0.000428,0.000904,0.069932,0.002031,0.053690,0.101507,7.132226,0.000490,0.000978,0.071253,0.002180,0.045731,0.101238,8.520666,0.000412,0.000977,0.085974,0.002248
29,0.008600,0.046111,0.093153,6.802059,0.000415,0.000886,0.067987,0.001981,0.052397,0.101908,7.505596,0.000478,0.000981,0.074924,0.002208,0.044956,0.105215,8.678640,0.000406,0.001023,0.087376,0.002303
30,0.008550,0.045497,0.092684,6.741664,0.000409,0.000882,0.067385,0.001965,0.054979,0.102936,7.212199,0.000503,0.000992,0.072030,0.002215,0.046499,0.102814,8.769462,0.000421,0.000998,0.088525,0.002304
31,0.008500,0.044838,0.092332,6.747420,0.000403,0.000878,0.067441,0.001955,0.050552,0.093942,7.037488,0.000460,0.000902,0.070261,0.002065,0.043614,0.102173,8.279652,0.000392,0.001002,0.082877,0.002222
32,0.008450,0.044301,0.090862,6.712326,0.000398,0.000864,0.067092,0.001933,0.051768,0.100826,7.116966,0.000471,0.000972,0.071032,0.002153,0.042877,0.099103,8.308244,0.000384,0.000953,0.083335,0.002170
33,0.008400,0.044222,0.090208,6.670201,0.000397,0.000857,0.066669,0.001920,0.051931,0.099582,7.215622,0.000473,0.000959,0.072056,0.002152,0.043645,0.102156,8.485057,0.000392,0.000988,0.085010,0.002230
34,0.008350,0.043465,0.089573,6.598681,0.000389,0.000851,0.065953,0.001900,0.050885,0.102869,7.140158,0.000462,0.000992,0.071276,0.002167,0.042604,0.102839,8.615476,0.000381,0.000993,0.086844,0.002243
35,0.008300,0.042621,0.087783,6.451028,0.000381,0.000833,0.064478,0.001859,0.051773,0.097056,6.946729,0.000470,0.000933,0.069356,0.002097,0.043976,0.101154,8.358202,0.000395,0.000985,0.084280,0.002223
36,0.008250,0.041748,0.086817,6.335711,0.000372,0.000824,0.063324,0.001830,0.049087,0.097800,7.074033,0.000445,0.000939,0.070636,0.002090,0.040453,0.096875,8.286728,0.000360,0.000931,0.083217,0.002123
37,0.008200,0.042162,0.087402,6.477327,0.000376,0.000829,0.064741,0.001853,0.050964,0.094187,7.482563,0.000463,0.000903,0.074703,0.002113,0.041861,0.096071,8.571014,0.000373,0.000917,0.086032,0.002151
38,0.008150,0.041965,0.087750,6.401913,0.000374,0.000833,0.063986,0.001847,0.050029,0.090148,7.181511,0.000453,0.000864,0.071670,0.002033,0.042138,0.094350,8.427937,0.000377,0.000914,0.084996,0.002141
39,0.008100,0.041113,0.085554,6.379789,0.000366,0.000812,0.063765,0.001816,0.049061,0.092177,6.807760,0.000445,0.000883,0.067971,0.002008,0.041660,0.096710,8.210739,0.000374,0.000942,0.082714,0.002142
40,0.008050,0.040644,0.084788,6.302702,0.000362,0.000803,0.062996,0.001794,0.051122,0.098317,7.290752,0.000464,0.000945,0.072769,0.002137,0.042379,0.100448,8.604057,0.000379,0.000969,0.086151,0.002210
41,0.008000,0.040132,0.084133,6.187661,0.000356,0.000797,0.061843,0.001772,0.050050,0.089218,6.765356,0.000454,0.000852,0.067569,0.001981,0.041531,0.093580,8.159277,0.000372,0.000897,0.081793,0.002086
42,0.007950,0.040206,0.084554,6.263482,0.000357,0.000801,0.062603,0.001784,0.049363,0.087463,6.787941,0.000447,0.000835,0.067759,0.001960,0.041209,0.091860,7.889692,0.000368,0.000885,0.079068,0.002044
43,0.007900,0.039592,0.083611,6.106156,0.000351,0.000792,0.061029,0.001753,0.048656,0.092527,6.746347,0.000440,0.000887,0.067366,0.002000,0.040312,0.091866,8.110955,0.000358,0.000878,0.081532,0.002051
44,0.007850,0.038800,0.082251,6.058845,0.000343,0.000778,0.060556,0.001726,0.047417,0.086605,7.158995,0.000429,0.000826,0.071467,0.001969,0.039192,0.095876,8.183255,0.000350,0.000934,0.081971,0.002104
45,0.007800,0.038866,0.081878,6.062118,0.000344,0.000775,0.060588,0.001725,0.047745,0.090194,6.669301,0.000431,0.000864,0.066586,0.001961,0.039574,0.091377,8.171483,0.000351,0.000879,0.082129,0.002052
46,0.007750,0.038955,0.081802,6.128914,0.000345,0.000774,0.061256,0.001731,0.050465,0.093467,7.338740,0.000458,0.000898,0.073234,0.002088,0.040569,0.091615,8.577769,0.000362,0.000880,0.087134,0.002114
47,0.007700,0.037976,0.081394,5.948074,0.000335,0.000770,0.059449,0.001699,0.046563,0.085166,6.571412,0.000420,0.000813,0.065615,0.001889,0.038509,0.091026,8.205321,0.000345,0.000879,0.082453,0.002049
48,0.007650,0.038016,0.080393,5.952724,0.000336,0.000760,0.059494,0.001690,0.050863,0.085353,7.195669,0.000460,0.000814,0.071808,0.001993,0.042613,0.089040,8.390725,0.000381,0.000854,0.084025,0.002075
