epoch,lr,trainset_Energy_MAE,trainset_Force_MAE,trainset_Stress_MAE,trainset_Energy_Loss,trainset_Force_Loss,trainset_Stress_Loss,trainset_TotalLoss,validset_Energy_MAE,validset_Force_MAE,validset_Stress_MAE,validset_Energy_Loss,validset_Force_Loss,validset_Stress_Loss,validset_TotalLoss,testset_Energy_MAE,testset_Force_MAE,testset_Stress_MAE,testset_Energy_Loss,testset_Force_Loss,testset_Stress_Loss,testset_TotalLoss
1,0.010000,0.331709,0.247936,21.614527,0.003267,0.002421,0.216108,0.007850,0.207965,0.213583,18.772564,0.002028,0.002108,0.187184,0.006007,0.212731,0.225674,21.012988,0.002091,0.002228,0.212676,0.006445
2,0.009950,0.195344,0.222914,20.080502,0.001904,0.002174,0.200772,0.006087,0.169843,0.204157,16.939980,0.001648,0.002014,0.168972,0.005351,0.170395,0.216473,19.125647,0.001670,0.002130,0.193262,0.005733
3,0.009900,0.161496,0.209838,17.048503,0.001566,0.002045,0.170457,0.005316,0.147619,0.183058,14.707949,0.001426,0.001801,0.146804,0.004695,0.144607,0.193857,15.918541,0.001400,0.001900,0.159665,0.004896
4,0.009850,0.135550,0.184766,14.558984,0.001307,0.001796,0.145551,0.004558,0.124095,0.169537,12.803785,0.001191,0.001661,0.127808,0.004130,0.121098,0.181129,14.303722,0.001167,0.001776,0.143548,0.004379
5,0.009800,0.118445,0.168819,13.437550,0.001136,0.001640,0.134343,0.004119,0.108271,0.156580,11.225232,0.001033,0.001530,0.112121,0.003685,0.104286,0.165411,12.708570,0.000996,0.001621,0.127983,0.003897
6,0.009750,0.103592,0.156957,12.113533,0.000988,0.001520,0.121103,0.003719,0.100108,0.151132,10.265514,0.000951,0.001475,0.102551,0.003452,0.096284,0.160258,12.120225,0.000916,0.001572,0.121532,0.003703
7,0.009700,0.092191,0.147764,10.778543,0.000874,0.001430,0.107751,0.003381,0.091265,0.139393,10.124740,0.000863,0.001356,0.101092,0.003231,0.085442,0.147714,11.532447,0.000811,0.001441,0.116012,0.003412
8,0.009650,0.084597,0.140686,10.266561,0.000798,0.001359,0.102631,0.003183,0.084828,0.140477,10.273578,0.000799,0.001366,0.102568,0.003191,0.078091,0.146629,11.408124,0.000737,0.001426,0.115554,0.003318
9,0.009600,0.078529,0.134430,9.774623,0.000738,0.001297,0.097716,0.003012,0.082871,0.128476,9.317186,0.000779,0.001246,0.093058,0.002956,0.078574,0.137423,10.541138,0.000739,0.001350,0.105900,0.003148
10,0.009550,0.074169,0.129607,9.261820,0.000694,0.001249,0.092586,0.002869,0.075647,0.124770,9.051659,0.000708,0.001209,0.090420,0.002822,0.069228,0.129621,10.086964,0.000649,0.001255,0.101348,0.002918
11,0.009500,0.070046,0.124543,8.994577,0.000653,0.001200,0.089913,0.002752,0.069753,0.115536,8.826667,0.000650,0.001116,0.088158,0.002648,0.063630,0.123485,10.165611,0.000592,0.001198,0.102798,0.002818
12,0.009450,0.067195,0.121877,8.839760,0.000625,0.001172,0.088364,0.002680,0.070330,0.116870,8.803905,0.000655,0.001129,0.087884,0.002662,0.063056,0.120491,9.837924,0.000586,0.001167,0.098869,0.002741
13,0.009400,0.064045,0.117785,8.443903,0.000593,0.001131,0.084412,0.002569,0.067720,0.121402,9.130218,0.000629,0.001178,0.091170,0.002718,0.060884,0.123847,10.418129,0.000566,0.001205,0.105262,0.002823
14,0.009350,0.061950,0.115100,8.402899,0.000573,0.001105,0.083998,0.002517,0.066792,0.116336,8.548592,0.000620,0.001126,0.085374,0.002599,0.059463,0.121390,9.876708,0.000550,0.001181,0.099352,0.002725
15,0.009300,0.060230,0.113365,8.168314,0.000555,0.001088,0.081650,0.002460,0.066177,0.119294,8.349297,0.000614,0.001153,0.083331,0.002600,0.059269,0.120301,9.347423,0.000548,0.001176,0.094329,0.002667
16,0.009250,0.058524,0.110557,8.045742,0.000538,0.001060,0.080429,0.002403,0.061146,0.108888,8.026146,0.000564,0.001052,0.080145,0.002418,0.055508,0.116588,9.336822,0.000511,0.001147,0.093661,0.002594
17,0.009200,0.056365,0.108110,7.849710,0.000517,0.001036,0.078466,0.002337,0.061542,0.108967,8.085390,0.000568,0.001053,0.080754,0.002428,0.053725,0.113634,9.330231,0.000492,0.001101,0.093667,0.002530
18,0.009150,0.055013,0.106712,7.890137,0.000504,0.001022,0.078868,0.002314,0.059579,0.118056,8.342693,0.000549,0.001143,0.083298,0.002524,0.052016,0.114817,9.557043,0.000475,0.001111,0.095983,0.002546
19,0.009100,0.054015,0.106439,7.702562,0.000494,0.001018,0.076993,0.002282,0.060287,0.106066,7.540306,0.000555,0.001022,0.075338,0.002331,0.053106,0.109332,8.701565,0.000486,0.001064,0.087308,0.002423
20,0.009050,0.052179,0.102963,7.402058,0.000475,0.000985,0.073989,0.002200,0.058527,0.104276,7.894543,0.000539,0.001005,0.078895,0.002332,0.051634,0.112122,8.918579,0.000472,0.001101,0.089222,0.002464
21,0.009000,0.051698,0.101920,7.381046,0.000471,0.000974,0.073779,0.002182,0.058965,0.110767,7.608125,0.000542,0.001071,0.075976,0.002373,0.050749,0.113714,8.944643,0.000464,0.001107,0.089779,0.002469
22,0.008950,0.050784,0.100965,7.390457,0.000462,0.000964,0.073872,0.002164,0.057219,0.107754,7.587652,0.000525,0.001038,0.075767,0.002321,0.050599,0.113635,8.710784,0.000462,0.001107,0.087212,0.002441
23,0.008900,0.049339,0.098847,7.126699,0.000447,0.000944,0.071233,0.002104,0.056074,0.103756,7.771752,0.000514,0.000999,0.077599,0.002289,0.048033,0.103855,8.945829,0.000435,0.000996,0.089509,0.002326
24,0.008850,0.049293,0.098393,7.239538,0.000447,0.000940,0.072363,0.002110,0.055361,0.107594,7.704900,0.000506,0.001038,0.076922,0.002313,0.048454,0.107085,8.849035,0.000440,0.001038,0.088867,0.002367
25,0.008800,0.048091,0.097406,7.040855,0.000435,0.000929,0.070376,0.002068,0.054761,0.106504,7.452184,0.000501,0.001031,0.074407,0.002276,0.046789,0.111062,8.678790,0.000423,0.001088,0.087037,0.002381
26,0.008750,0.047367,0.096558,6.961470,0.000428,0.000921,0.069581,0.002045,0.052322,0.102108,7.167763,0.000477,0.000987,0.071587,0.002179,0.045612,0.106340,8.323605,0.000412,0.001048,0.083422,0.002294
27,0.008700,0.046708,0.095263,6.991493,0.000421,0.000908,0.069883,0.002028,0.052836,0.101949,7.199779,0.000482,0.000982,0.071893,0.002183,0.046854,0.109790,8.250051,0.000424,0.001088,0.082815,0.002340
28,0.008650,0.046506,0.093931,6.833873,0.000419,0.000894,0.068305,0.001996,0.051489,0.100566,7.516053,0.000469,0.000969,0.075014,0.002188,0.043284,0.105373,8.513656,0.000388,0.001018,0.085787,0.002264
29,0.008600,0.045804,0.094405,6.884570,0.000412,0.000900,0.068812,0.002001,0.051889,0.104395,7.375904,0.000473,0.001005,0.073602,0.002214,0.045952,0.110095,8.544196,0.000415,0.001083,0.086143,0.002359
30,0.008550,0.045017,0.091870,6.659262,0.000405,0.000874,0.066559,0.001944,0.052685,0.097530,7.303504,0.000480,0.000939,0.072931,0.002149,0.044620,0.102250,8.425205,0.000402,0.001000,0.084985,0.002251
31,0.008500,0.044465,0.091123,6.660899,0.000399,0.000867,0.066576,0.001932,0.049983,0.094514,7.144658,0.000454,0.000907,0.071327,0.002074,0.041897,0.098731,8.179774,0.000377,0.000956,0.082260,0.002155
32,0.008450,0.043914,0.090605,6.619120,0.000394,0.000861,0.066158,0.001916,0.050295,0.095494,7.249255,0.000457,0.000917,0.072375,0.002098,0.042714,0.100085,8.219489,0.000383,0.000981,0.082346,0.002187
