Epoch,Learning_rate,Train_Energy_RMSE (eV/atom),Valid_Energy_RMSE (eV/atom),Train_Force_RMSE (eV/Å),Valid_Force_RMSE (eV/Å),Train_Stress_RMSE (kbar),Valid_Stress_RMSE (kbar),Train_Energy_MAE (eV/atom),Valid_Energy_MAE (eV/atom),Train_Force_MAE (eV/Å),Valid_Force_MAE (eV/Å),Train_Stress_MAE (kbar),Valid_Stress_MAE (kbar),Train_Energy_Loss,Valid_Energy_Loss,Train_Force_Loss,Valid_Force_Loss,Train_Stress_Loss,Valid_Stress_Loss,Train_TotalLoss,Valid_TotalLoss
1,0.004000,0.912627,0.936608,5.538326,7.382845,734.662482,564.587271,0.282688,0.207711,0.244406,0.211272,21.588010,19.013819,0.002778,0.002029,0.002355,0.002045,0.215911,0.190106,0.007292,0.005975
2,0.004000,0.846406,0.881953,5.367184,7.307418,937.771093,459.109723,0.191323,0.168424,0.224237,0.205961,20.725695,17.236371,0.001865,0.001636,0.002169,0.001995,0.207284,0.172355,0.006107,0.005354
3,0.004000,0.696398,0.784071,5.093266,7.051141,616.665643,276.918478,0.157664,0.142411,0.207486,0.194540,17.498682,14.428882,0.001528,0.001376,0.002009,0.001880,0.174999,0.144310,0.005288,0.004699
4,0.004000,0.911268,0.750625,5.220949,5.488758,4766.040101,242.395161,0.142936,0.125205,0.195897,0.171543,19.747640,12.591720,0.001381,0.001204,0.001900,0.001659,0.197473,0.125960,0.005256,0.004123
5,0.004000,0.539456,2.669227,3.447207,414.575377,311.031861,1312.619540,0.116674,0.137089,0.168881,0.917458,13.008886,15.293448,0.001119,0.001323,0.001628,0.007046,0.130084,0.152919,0.004047,0.009898
6,0.004000,0.511430,0.731678,4.942112,6.137065,316.880440,187.962218,0.104531,0.105482,0.162018,0.156847,12.254819,10.830085,0.000997,0.001007,0.001563,0.001497,0.122528,0.108356,0.003785,0.003588
7,0.004000,0.514304,0.744866,12.546513,6.832654,475.453795,267.811383,0.098019,0.103235,0.161908,0.156127,12.306261,11.382826,0.000932,0.000985,0.001569,0.001492,0.123034,0.113874,0.003731,0.003615
8,0.004000,0.476949,0.704049,4.184697,3.935667,321.961303,173.546600,0.088111,0.089948,0.147225,0.142593,11.129402,10.490788,0.000833,0.000852,0.001417,0.001361,0.111271,0.104972,0.003363,0.003262
9,0.004000,0.480982,1.095214,3.187167,99.418495,523.797009,361.925063,0.084067,0.095735,0.139397,0.308174,11.193927,11.059482,0.000793,0.000910,0.001338,0.002534,0.111906,0.110641,0.003250,0.004551
10,0.004000,0.453079,0.705256,5.037127,4.670965,307.748605,141.785037,0.078133,0.080011,0.136242,0.125092,10.325522,9.266204,0.000734,0.000753,0.001311,0.001179,0.103221,0.092728,0.003077,0.002860
11,0.004000,0.443274,0.707395,2.994997,6.044185,283.639297,198.961974,0.074312,0.079247,0.129982,0.130046,9.993175,9.508431,0.000696,0.000745,0.001245,0.001223,0.099898,0.095154,0.002939,0.002920
12,0.004000,0.433407,0.720339,2.713478,10.318275,303.166303,192.262677,0.071295,0.077176,0.124430,0.137068,9.769244,9.310149,0.000666,0.000725,0.001189,0.001270,0.097670,0.093174,0.002831,0.002927
13,0.004000,0.433710,0.690597,2.904757,4.631821,723.196655,142.070357,0.069867,0.072879,0.123544,0.121244,10.051589,8.364020,0.000651,0.000682,0.001181,0.001141,0.100481,0.083711,0.002837,0.002661
14,0.004000,0.432172,0.717775,2.859427,8.901837,239.072772,151.366304,0.065830,0.073170,0.119234,0.133057,9.131546,8.963328,0.000611,0.000685,0.001139,0.001233,0.091277,0.089689,0.002663,0.002815
15,0.004000,0.461888,0.697364,2.477678,7.095002,668.463337,152.031535,0.065451,0.067377,0.117690,0.122449,9.707498,8.392972,0.000607,0.000627,0.001122,0.001142,0.097037,0.084007,0.002700,0.002610
16,0.004000,0.421436,0.692289,2.535494,4.477151,237.801076,151.609997,0.062041,0.068848,0.114218,0.120192,8.764869,8.118719,0.000574,0.000641,0.001085,0.001130,0.087621,0.081262,0.002535,0.002584
17,0.004000,0.421329,0.692206,2.681530,0.766929,251.019282,153.289018,0.062309,0.068500,0.114949,0.106113,8.928663,8.141648,0.000576,0.000639,0.001095,0.001011,0.089245,0.081483,0.002564,0.002465
18,0.004000,0.414300,0.708202,2.490645,5.241335,238.134233,194.594831,0.059312,0.066325,0.110796,0.115474,8.592342,8.252364,0.000546,0.000617,0.001054,0.001081,0.085885,0.082589,0.002459,0.002524
19,0.004000,0.416404,0.694475,2.294650,3.627630,271.473688,154.999940,0.058203,0.065606,0.109717,0.109381,8.555749,8.063281,0.000535,0.000609,0.001042,0.001029,0.085518,0.080702,0.002433,0.002445
20,0.004000,0.417468,0.685708,2.624003,1.658312,202.319041,143.175736,0.057142,0.062173,0.108219,0.107080,8.307562,7.875557,0.000525,0.000575,0.001029,0.001016,0.083036,0.078831,0.002384,0.002379
21,0.004000,0.413908,0.688553,2.348926,0.588100,262.466805,128.937454,0.055531,0.062665,0.106462,0.104412,8.344133,7.865069,0.000509,0.000581,0.001011,0.000993,0.083405,0.078727,0.002354,0.002361
22,0.004000,0.417835,0.685576,2.098711,1.634534,231.871688,121.778068,0.054637,0.059908,0.103321,0.107078,8.125254,7.886892,0.000500,0.000553,0.000980,0.001018,0.081220,0.078947,0.002292,0.002360
23,0.004000,0.408723,0.683211,2.235973,0.798336,224.568670,120.468160,0.053073,0.056759,0.102389,0.099551,8.033149,7.189602,0.000484,0.000522,0.000971,0.000951,0.080290,0.071975,0.002259,0.002192
24,0.004000,0.413668,0.687089,3.000283,3.816394,213.544555,151.330825,0.052382,0.059808,0.102297,0.107130,7.859032,7.531687,0.000478,0.000552,0.000972,0.001008,0.078566,0.075399,0.002235,0.002314
25,0.004000,0.406460,0.703691,2.113114,8.160846,233.133812,149.943067,0.051186,0.058255,0.099736,0.110922,7.886531,7.421140,0.000466,0.000537,0.000944,0.001021,0.078827,0.074283,0.002198,0.002300
26,0.004000,0.412794,0.696683,2.672989,4.931062,239.418237,145.203247,0.050781,0.060631,0.100548,0.103171,7.769312,7.648493,0.000462,0.000560,0.000952,0.000961,0.077656,0.076555,0.002191,0.002287
27,0.004000,0.410152,0.688482,2.457874,2.037456,250.663567,152.679531,0.049909,0.056111,0.099194,0.098292,7.846860,7.411106,0.000453,0.000516,0.000940,0.000925,0.078428,0.074182,0.002177,0.002183
28,0.004000,0.411584,0.683655,2.276366,1.205742,207.275690,164.858651,0.048933,0.058627,0.097099,0.095954,7.581313,7.227673,0.000443,0.000540,0.000920,0.000910,0.075772,0.072349,0.002121,0.002173
29,0.004000,0.416285,0.694643,2.682579,4.475917,247.891953,153.841259,0.049315,0.062683,0.098005,0.101343,7.683955,7.431687,0.000447,0.000580,0.000927,0.000949,0.076799,0.074385,0.002142,0.002273
30,0.004000,0.408928,0.686323,2.238140,1.694381,196.978865,145.940619,0.047603,0.056561,0.094571,0.099578,7.412865,7.297212,0.000430,0.000520,0.000894,0.000946,0.074109,0.073054,0.002066,0.002197
31,0.004000,0.408221,0.687444,2.294400,5.400392,229.241801,158.639204,0.047344,0.059640,0.093800,0.104506,7.389494,7.453772,0.000428,0.000550,0.000886,0.000972,0.073851,0.074610,0.002053,0.002268
32,0.004000,0.410551,0.687592,3.102063,1.108659,199.523205,156.146439,0.046920,0.053311,0.095166,0.091502,7.389544,7.452880,0.000423,0.000488,0.000904,0.000867,0.073858,0.074597,0.002066,0.002101
33,0.004000,0.412600,0.691094,2.129526,3.969499,209.072754,185.970451,0.046415,0.053729,0.092558,0.101443,7.330122,7.485990,0.000419,0.000491,0.000874,0.000952,0.073275,0.074930,0.002025,0.002193
34,0.004000,0.406094,0.690221,2.288087,3.705668,247.897810,157.921843,0.045405,0.053441,0.092400,0.096230,7.316812,7.538333,0.000408,0.000489,0.000872,0.000898,0.073129,0.075448,0.002012,0.002141
35,0.004000,0.403443,0.689806,2.120035,3.189258,211.705022,206.903042,0.044702,0.062776,0.090906,0.098776,7.129234,7.686583,0.000402,0.000580,0.000857,0.000929,0.071272,0.076935,0.001971,0.002279
36,0.004000,0.402534,0.688873,2.057009,1.086672,204.586479,147.254927,0.044378,0.055323,0.089575,0.092189,7.026678,7.249072,0.000398,0.000507,0.000844,0.000878,0.070236,0.072562,0.001945,0.002111
37,0.004000,0.401250,0.687901,1.917240,3.544248,196.850756,145.235361,0.043598,0.051121,0.088069,0.092585,6.968865,6.863395,0.000391,0.000466,0.000828,0.000863,0.069646,0.068703,0.001915,0.002016
38,0.004000,0.412707,0.687768,2.106089,1.645136,185.210690,156.784659,0.043762,0.052354,0.087687,0.092385,6.922444,6.984173,0.000392,0.000478,0.000825,0.000868,0.069182,0.069919,0.001909,0.002045
39,0.004000,0.402750,0.682773,2.104785,0.938405,210.113765,136.410438,0.042868,0.055094,0.087563,0.088738,6.962721,6.813916,0.000383,0.000505,0.000826,0.000841,0.069591,0.068212,0.001905,0.002028
40,0.004000,0.403214,0.686499,1.974582,3.887776,181.719313,157.733851,0.042602,0.049995,0.085949,0.095253,6.857613,6.986171,0.000381,0.000455,0.000808,0.000886,0.068536,0.069933,0.001874,0.002040
