Epoch,Learning_rate,Train_Energy_RMSE (eV/atom),Valid_Energy_RMSE (eV/atom),Train_Force_RMSE (eV/Å),Valid_Force_RMSE (eV/Å),Train_Stress_RMSE (kbar),Valid_Stress_RMSE (kbar),Train_Energy_MAE (eV/atom),Valid_Energy_MAE (eV/atom),Train_Force_MAE (eV/Å),Valid_Force_MAE (eV/Å),Train_Stress_MAE (kbar),Valid_Stress_MAE (kbar),Train_Energy_Loss,Valid_Energy_Loss,Train_Force_Loss,Valid_Force_Loss,Train_Stress_Loss,Valid_Stress_Loss,Train_TotalLoss,Valid_TotalLoss
1,0.004000,0.940140,0.940088,5.644696,7.441227,1033.360499,590.550091,0.286936,0.197820,0.254921,0.214729,22.182078,19.209363,0.002820,0.001930,0.002447,0.002076,0.221851,0.192072,0.007486,0.005926
2,0.004000,0.825334,0.894650,5.366281,7.330728,689.567088,481.679373,0.182809,0.160187,0.221615,0.202693,20.186555,17.614606,0.001780,0.001554,0.002143,0.001961,0.201895,0.176126,0.005941,0.005277
3,0.004000,0.715022,0.811766,5.181221,7.179413,555.918944,375.456274,0.148561,0.132865,0.206845,0.188122,17.431979,14.662748,0.001437,0.001281,0.002002,0.001813,0.174332,0.146649,0.005183,0.004560
4,0.004000,0.590945,0.737852,4.680499,5.616837,410.753362,218.734505,0.121452,0.109552,0.185123,0.167840,14.461724,12.528360,0.001166,0.001048,0.001789,0.001617,0.144598,0.125319,0.004401,0.003918
5,0.004000,0.716660,0.763953,33.605396,6.969638,1063.189426,227.543724,0.115741,0.108496,0.198999,0.170031,14.952456,11.540427,0.001109,0.001037,0.001953,0.001631,0.149490,0.115454,0.004557,0.003823
6,0.004000,0.513192,0.719326,4.398735,6.003280,382.878300,186.463364,0.096875,0.094257,0.160428,0.151890,12.179856,10.679378,0.000921,0.000895,0.001546,0.001452,0.121764,0.106848,0.003685,0.003415
7,0.004000,0.474337,0.701256,3.457348,2.648779,284.463523,145.398530,0.089006,0.085420,0.149695,0.140320,11.324118,10.025316,0.000842,0.000807,0.001438,0.001349,0.113215,0.100318,0.003413,0.003159
8,0.004000,274.852344,0.799259,298.175349,4.153853,2712315.138490,290.831481,0.820731,0.158238,0.437515,0.213083,1739.142273,18.491453,0.008158,0.001534,0.003764,0.002076,17.387789,0.184909,0.185800,0.005460
9,0.004000,0.606316,0.755032,3.382192,2.818431,664.692322,268.693083,0.142617,0.131136,0.213509,0.194663,18.774810,15.978437,0.001378,0.001263,0.002060,0.001897,0.187762,0.159827,0.005316,0.004758
10,0.004000,0.569096,0.739336,3.199995,2.684869,472.996722,254.284311,0.126505,0.122952,0.196868,0.184285,16.188945,14.742064,0.001217,0.001182,0.001898,0.001791,0.161898,0.147469,0.004734,0.004448
11,0.004000,0.543524,0.723583,3.055148,2.414875,349.378004,223.387304,0.114647,0.108351,0.182798,0.171829,14.367805,13.904002,0.001098,0.001036,0.001761,0.001669,0.143673,0.139097,0.004296,0.004096
12,0.004000,0.513225,0.719774,2.858868,2.155757,314.891005,223.777177,0.104077,0.099180,0.167760,0.156611,13.134949,11.728406,0.000993,0.000944,0.001613,0.001515,0.131324,0.117338,0.003919,0.003632
13,0.004000,0.479682,0.698037,2.583329,1.772556,511.384205,181.319694,0.093154,0.088910,0.152187,0.142775,11.976076,10.534573,0.000884,0.000842,0.001460,0.001374,0.119741,0.105422,0.003541,0.003270
14,0.004000,0.450598,0.706298,2.590519,3.558365,274.401112,165.096348,0.084102,0.086977,0.140925,0.137067,10.749827,10.094465,0.000793,0.000822,0.001351,0.001312,0.107464,0.101027,0.003218,0.003145
15,0.004000,0.438191,0.709256,2.415183,4.276441,271.891544,187.299249,0.078221,0.083303,0.134448,0.130159,10.325063,9.951175,0.000735,0.000786,0.001284,0.001229,0.103234,0.099567,0.003051,0.003010
16,0.004000,0.439073,0.695195,2.714065,2.612438,308.222075,163.131943,0.074272,0.076147,0.130076,0.125092,10.057611,9.021338,0.000695,0.000714,0.001243,0.001194,0.100539,0.090272,0.002943,0.002811
17,0.004000,0.435981,0.695259,2.536609,4.611567,340.100203,180.322690,0.070627,0.074699,0.126268,0.125687,9.796968,8.799126,0.000659,0.000700,0.001206,0.001184,0.097941,0.088068,0.002844,0.002764
18,0.004000,0.431637,0.690625,2.433411,1.077810,332.559807,145.406972,0.068500,0.070013,0.123644,0.113311,9.627942,8.342485,0.000638,0.000653,0.001179,0.001085,0.096235,0.083498,0.002779,0.002573
19,0.004000,0.424589,0.699128,2.453609,1.866280,263.815625,160.921675,0.065215,0.069639,0.120049,0.115333,9.216239,9.132240,0.000605,0.000649,0.001144,0.001095,0.092136,0.091385,0.002670,0.002659
20,0.004000,0.421399,0.689566,2.415311,1.597003,287.916721,135.301606,0.063588,0.065595,0.117099,0.113463,9.010056,8.056322,0.000589,0.000609,0.001116,0.001076,0.090063,0.080636,0.002605,0.002492
21,0.004000,0.427168,0.690425,2.380694,1.661650,309.377135,152.104208,0.061178,0.067272,0.114676,0.110994,8.979450,7.933830,0.000565,0.000626,0.001092,0.001053,0.089761,0.079420,0.002554,0.002473
22,0.004000,0.413772,0.684321,2.260311,2.244810,242.241102,156.246573,0.058945,0.069449,0.111695,0.112845,8.538451,8.217384,0.000543,0.000648,0.001063,0.001073,0.085348,0.082243,0.002459,0.002543
23,0.004000,0.422874,0.697095,2.465102,4.180049,262.552418,153.203164,0.057942,0.064695,0.110609,0.114328,8.658757,7.948631,0.000533,0.000601,0.001051,0.001078,0.086548,0.079548,0.002449,0.002474
24,0.004000,0.418188,0.688823,2.303215,4.274419,235.414533,171.626451,0.056560,0.062847,0.108551,0.114620,8.378239,8.033348,0.000519,0.000582,0.001031,0.001077,0.083753,0.080410,0.002387,0.002463
25,0.004000,0.410002,0.686285,2.156239,0.968410,222.467089,174.357013,0.054755,0.058709,0.105601,0.102263,8.093745,7.897880,0.000501,0.000541,0.001001,0.000971,0.080909,0.079046,0.002311,0.002303
26,0.004000,0.414223,0.688990,2.314088,1.451141,257.457773,149.334172,0.053534,0.065187,0.104350,0.101010,8.094150,7.475220,0.000489,0.000605,0.000990,0.000957,0.080905,0.074838,0.002288,0.002310
27,0.004000,0.411884,0.686636,2.050538,2.983011,242.060259,141.375104,0.053177,0.058704,0.102667,0.100629,8.015118,7.416339,0.000485,0.000541,0.000971,0.000944,0.080115,0.074237,0.002258,0.002227
28,0.004000,0.414856,0.683052,2.437850,1.566760,218.933934,147.279023,0.051268,0.058516,0.102666,0.099310,7.859769,7.509209,0.000467,0.000539,0.000974,0.000941,0.078563,0.075160,0.002227,0.002232
29,0.004000,0.410534,0.689561,2.178430,1.131868,227.495328,173.798175,0.050361,0.056887,0.099295,0.098770,7.679743,7.902035,0.000458,0.000524,0.000941,0.000941,0.076770,0.079091,0.002166,0.002255
30,0.004000,0.408811,0.683918,2.278331,0.637058,211.311623,151.033171,0.050220,0.057915,0.099812,0.096586,7.620600,7.318264,0.000456,0.000533,0.000944,0.000916,0.076167,0.073267,0.002162,0.002182
31,0.004000,0.405695,0.689784,2.008849,2.495949,204.869057,156.391931,0.048493,0.065882,0.096114,0.099874,7.499334,7.658793,0.000439,0.000612,0.000908,0.000940,0.074959,0.076652,0.002097,0.002319
32,0.004000,0.412184,0.684080,2.506486,0.557222,238.404802,149.012313,0.048790,0.054821,0.097934,0.092103,7.662698,7.381126,0.000442,0.000503,0.000928,0.000875,0.076588,0.073889,0.002136,0.002116
33,0.004000,0.404865,0.689570,1.967540,4.350362,192.531630,190.228787,0.046978,0.053624,0.093943,0.099329,7.273481,7.496878,0.000424,0.000491,0.000886,0.000925,0.072692,0.075030,0.002036,0.002166
34,0.004000,0.406523,0.682919,1.989800,1.739420,217.469352,143.696846,0.046554,0.060321,0.093622,0.101616,7.316169,7.432302,0.000420,0.000556,0.000883,0.000958,0.073127,0.074399,0.002034,0.002258
35,0.004000,0.414628,0.688162,2.089877,4.509618,260.316315,152.625238,0.046558,0.054141,0.093473,0.098749,7.438492,7.296286,0.000420,0.000496,0.000881,0.000921,0.074344,0.073036,0.002044,0.002148
36,0.004000,0.404951,0.680016,2.350002,1.382696,227.335647,150.642056,0.045132,0.056242,0.092480,0.093633,7.165415,7.111038,0.000406,0.000516,0.000873,0.000885,0.071614,0.071194,0.001995,0.002113
37,0.004000,0.403392,0.684698,2.233340,0.855574,187.334764,156.052813,0.045089,0.053323,0.091726,0.090552,7.105135,7.211709,0.000405,0.000488,0.000867,0.000858,0.071013,0.072192,0.001982,0.002068
38,0.004000,0.399114,0.680024,2.092470,1.354772,212.290016,132.692572,0.044174,0.050327,0.090811,0.091716,7.107295,7.008802,0.000396,0.000458,0.000857,0.000865,0.071039,0.070174,0.001964,0.002024
39,0.004000,0.405837,0.686368,2.165199,3.721758,186.474988,168.147568,0.044095,0.052334,0.090484,0.097299,6.962110,7.383975,0.000395,0.000478,0.000852,0.000911,0.069582,0.073914,0.001943,0.002128
40,0.004000,0.403455,0.688640,2.047231,3.235475,213.109207,160.322630,0.043739,0.052179,0.089021,0.095910,7.074358,7.267366,0.000392,0.000477,0.000839,0.000895,0.070710,0.072736,0.001938,0.002099
41,0.004000,0.400301,0.686799,1.950797,2.132511,192.799838,178.686672,0.042824,0.050145,0.087313,0.091395,6.879104,7.340374,0.000383,0.000457,0.000821,0.000854,0.068751,0.073481,0.001892,0.002046
42,0.004000,0.402444,0.680338,2.232801,0.680957,179.726469,129.910138,0.042272,0.052350,0.087173,0.089492,6.706484,6.815226,0.000378,0.000478,0.000821,0.000844,0.067026,0.068229,0.001868,0.002004
43,0.004000,0.399845,0.686953,1.894361,1.020032,195.826874,164.313958,0.041789,0.053573,0.085906,0.088272,6.820802,6.878056,0.000373,0.000490,0.000807,0.000834,0.068170,0.068854,0.001862,0.002012
44,0.004000,0.399272,0.682589,2.109303,3.576608,176.241441,158.958846,0.041525,0.049931,0.086051,0.094364,6.670484,7.416849,0.000370,0.000454,0.000809,0.000882,0.066663,0.074253,0.001845,0.002078
45,0.004000,0.402901,0.689363,1.902926,4.003659,187.008078,178.335098,0.041459,0.049215,0.085112,0.093253,6.737741,7.278862,0.000370,0.000448,0.000800,0.000871,0.067344,0.072870,0.001843,0.002047
46,0.004000,0.404640,0.684005,2.210788,1.325199,212.756403,158.794951,0.041384,0.052152,0.085658,0.091166,6.782060,6.990500,0.000369,0.000476,0.000807,0.000860,0.067778,0.069984,0.001853,0.002036
