epoch,lr,trainset_Energy_MAE,trainset_Force_MAE,trainset_Stress_MAE,trainset_Energy_Loss,trainset_Force_Loss,trainset_Stress_Loss,trainset_TotalLoss,validset_Energy_MAE,validset_Force_MAE,validset_Stress_MAE,validset_Energy_Loss,validset_Force_Loss,validset_Stress_Loss,validset_TotalLoss,testset_Energy_MAE,testset_Force_MAE,testset_Stress_MAE,testset_Energy_Loss,testset_Force_Loss,testset_Stress_Loss,testset_TotalLoss
1,0.010000,0.324045,0.248098,21.415536,0.003191,0.002423,0.214120,0.007755,0.202634,0.215453,19.853159,0.001974,0.002126,0.197988,0.006080,0.210990,0.227032,22.505182,0.002080,0.002240,0.236132,0.006681
2,0.009950,0.187249,0.224868,20.361338,0.001824,0.002194,0.203578,0.006054,0.172268,0.207046,18.073420,0.001671,0.002044,0.180213,0.005517,0.173067,0.215687,20.196059,0.001697,0.002125,0.205081,0.005873
3,0.009900,0.166172,0.215084,19.042082,0.001613,0.002097,0.190384,0.005614,0.154296,0.208107,15.717116,0.001491,0.002055,0.156853,0.005115,0.152434,0.215031,17.472054,0.001485,0.002115,0.175256,0.005353
4,0.009850,0.140695,0.196999,16.048108,0.001358,0.001918,0.160441,0.004881,0.136775,0.183919,13.762718,0.001318,0.001806,0.137453,0.004498,0.133235,0.196070,15.486701,0.001286,0.001915,0.155389,0.004755
5,0.009800,0.122939,0.177366,14.243422,0.001181,0.001722,0.142395,0.004327,0.116460,0.158736,11.793338,0.001115,0.001551,0.117856,0.003845,0.112250,0.173424,13.800325,0.001078,0.001702,0.138350,0.004163
6,0.009750,0.106742,0.162754,12.800351,0.001019,0.001579,0.127966,0.003878,0.110184,0.182510,11.187246,0.001052,0.001795,0.111776,0.003965,0.101512,0.160986,12.322613,0.000971,0.001585,0.123553,0.003791
7,0.009700,0.095366,0.152083,11.406273,0.000906,0.001473,0.114027,0.003519,0.093467,0.146019,10.547328,0.000886,0.001425,0.105359,0.003365,0.085050,0.153392,12.006042,0.000806,0.001522,0.120640,0.003535
8,0.009650,0.090227,0.146491,10.989117,0.000854,0.001418,0.109856,0.003371,0.091655,0.143378,9.654806,0.000867,0.001394,0.096495,0.003227,0.085506,0.148166,10.942637,0.000811,0.001440,0.110684,0.003358
9,0.009600,0.083774,0.140220,10.539718,0.000790,0.001354,0.105366,0.003198,0.088460,0.131922,10.187023,0.000836,0.001282,0.101770,0.003136,0.080410,0.136867,10.962322,0.000761,0.001345,0.111996,0.003225
10,0.009550,0.079432,0.135456,9.971033,0.000747,0.001308,0.099676,0.003051,0.080920,0.131274,9.104342,0.000760,0.001276,0.090942,0.002946,0.074389,0.135442,10.205469,0.000702,0.001336,0.102768,0.003066
11,0.009500,0.074080,0.129547,9.462748,0.000693,0.001250,0.094596,0.002889,0.083539,0.133669,9.427828,0.000787,0.001298,0.094131,0.003026,0.075625,0.138720,10.377169,0.000714,0.001347,0.105820,0.003119
12,0.009450,0.071878,0.127947,9.496786,0.000671,0.001232,0.094933,0.002853,0.076728,0.132854,8.905737,0.000719,0.001292,0.088968,0.002901,0.067482,0.131529,9.435798,0.000631,0.001288,0.095063,0.002869
13,0.009400,0.070369,0.125860,9.329027,0.000656,0.001211,0.093258,0.002800,0.075107,0.125663,9.363742,0.000703,0.001220,0.093404,0.002856,0.065883,0.124887,9.874808,0.000615,0.001225,0.099834,0.002838
