epoch,lr,trainset_Energy_MAE,trainset_Force_MAE,trainset_Stress_MAE,trainset_Energy_Loss,trainset_Force_Loss,trainset_Stress_Loss,trainset_TotalLoss,validset_Energy_MAE,validset_Force_MAE,validset_Stress_MAE,validset_Energy_Loss,validset_Force_Loss,validset_Stress_Loss,validset_TotalLoss,testset_Energy_MAE,testset_Force_MAE,testset_Stress_MAE,testset_Energy_Loss,testset_Force_Loss,testset_Stress_Loss,testset_TotalLoss
1,0.010000,0.310388,0.245450,21.527819,0.003054,0.002397,0.215240,0.007603,0.201771,0.213053,17.976624,0.001967,0.002104,0.179227,0.005862,0.205950,0.227018,20.442160,0.002024,0.002243,0.207372,0.006340
2,0.009950,0.186870,0.221502,19.861529,0.001820,0.002160,0.198581,0.005966,0.169444,0.213494,17.167291,0.001643,0.002106,0.171277,0.005462,0.171739,0.226626,18.646484,0.001681,0.002235,0.187056,0.005787
3,0.009900,0.158708,0.207683,17.114391,0.001538,0.002024,0.171104,0.005273,0.143891,0.196887,13.890750,0.001390,0.001938,0.138749,0.004716,0.140322,0.200822,15.505609,0.001361,0.001980,0.156442,0.004906
4,0.009850,0.136205,0.188978,15.046514,0.001313,0.001838,0.150429,0.004656,0.129380,0.171569,13.043404,0.001245,0.001682,0.130330,0.004230,0.124815,0.183697,15.066920,0.001209,0.001811,0.152584,0.004547
5,0.009800,0.124600,0.174178,14.254805,0.001197,0.001692,0.142512,0.004315,0.119570,0.188810,12.527746,0.001147,0.001858,0.125175,0.004257,0.114081,0.176341,13.531793,0.001098,0.001735,0.135871,0.004191
6,0.009750,0.111372,0.170426,12.974687,0.001065,0.001651,0.129711,0.004013,0.115825,0.214783,12.199293,0.001108,0.002126,0.121785,0.004452,0.106933,0.163018,12.765747,0.001022,0.001612,0.128431,0.003918
7,0.009700,0.098688,0.155971,11.796698,0.000939,0.001510,0.117932,0.003628,0.097382,0.154136,11.235394,0.000925,0.001504,0.112158,0.003550,0.092859,0.159198,11.995586,0.000889,0.001594,0.121356,0.003696
8,0.009650,0.093778,0.151439,11.433175,0.000890,0.001468,0.114296,0.003501,0.092632,0.153550,9.942764,0.000877,0.001498,0.099297,0.003368,0.087328,0.147194,11.721286,0.000833,0.001463,0.118258,0.003479
9,0.009600,0.085336,0.140247,10.616830,0.000805,0.001355,0.106135,0.003222,0.095955,0.143426,9.698098,0.000910,0.001398,0.096881,0.003276,0.089150,0.145887,10.856155,0.000849,0.001448,0.110386,0.003401
10,0.009550,0.080370,0.135550,10.082068,0.000756,0.001309,0.100791,0.003073,0.092586,0.183177,10.356503,0.000876,0.001801,0.103407,0.003711,0.084340,0.148880,11.358601,0.000799,0.001463,0.114931,0.003411
11,0.009500,0.077568,0.133001,9.880345,0.000728,0.001284,0.098770,0.003000,0.082986,0.126819,9.282047,0.000781,0.001230,0.092659,0.002937,0.076931,0.128352,10.416831,0.000725,0.001257,0.105769,0.003040
12,0.009450,0.074324,0.128532,9.756590,0.000696,0.001239,0.097534,0.002910,0.077128,0.129701,9.119302,0.000723,0.001260,0.091059,0.002893,0.069753,0.133017,10.198006,0.000657,0.001326,0.103890,0.003022
13,0.009400,0.070221,0.123183,9.211351,0.000655,0.001186,0.092079,0.002761,0.073556,0.127140,8.590912,0.000687,0.001236,0.085850,0.002782,0.064991,0.127077,9.885991,0.000606,0.001250,0.100046,0.002856
