epoch,lr,trainset_Energy_MAE,trainset_Force_MAE,trainset_Stress_MAE,trainset_Energy_Loss,trainset_Force_Loss,trainset_Stress_Loss,trainset_TotalLoss,validset_Energy_MAE,validset_Force_MAE,validset_Stress_MAE,validset_Energy_Loss,validset_Force_Loss,validset_Stress_Loss,validset_TotalLoss,testset_Energy_MAE,testset_Force_MAE,testset_Stress_MAE,testset_Energy_Loss,testset_Force_Loss,testset_Stress_Loss,testset_TotalLoss
1,0.010000,0.313936,0.244248,21.676600,0.003090,0.002385,0.216728,0.007642,0.217196,0.211974,19.680572,0.002120,0.002092,0.196194,0.006174,0.222265,0.224274,21.649826,0.002191,0.002214,0.220418,0.006610
2,0.009950,0.195473,0.220713,19.714408,0.001906,0.002153,0.197110,0.006029,0.184812,0.202902,16.936788,0.001798,0.002002,0.169002,0.005489,0.186091,0.214538,18.499335,0.001821,0.002106,0.186051,0.005788
3,0.009900,0.169286,0.212028,17.964524,0.001644,0.002067,0.179609,0.005507,0.152133,0.193018,14.084737,0.001471,0.001901,0.140718,0.004779,0.151124,0.198296,16.085622,0.001468,0.001945,0.160991,0.005023
4,0.009850,0.148538,0.195787,15.810911,0.001437,0.001904,0.158070,0.004921,0.128983,0.176758,12.567989,0.001240,0.001734,0.125592,0.004230,0.125059,0.186887,14.757980,0.001207,0.001844,0.148457,0.004536
5,0.009800,0.134227,0.188412,14.865532,0.001294,0.001838,0.148620,0.004618,0.123858,0.174467,12.337571,0.001189,0.001716,0.123307,0.004137,0.119382,0.175087,13.503290,0.001150,0.001732,0.135474,0.004237
6,0.009750,0.115823,0.168698,13.237409,0.001110,0.001636,0.132337,0.004069,0.115586,0.167058,11.461919,0.001106,0.001638,0.114434,0.003889,0.111681,0.168733,12.625284,0.001074,0.001662,0.128016,0.004016
7,0.009700,0.104430,0.159989,11.998147,0.000996,0.001550,0.119948,0.003746,0.098952,0.157658,11.330078,0.000941,0.001542,0.113126,0.003614,0.093929,0.160107,12.268498,0.000897,0.001579,0.123812,0.003715
8,0.009650,0.097072,0.152999,11.658141,0.000923,0.001480,0.116545,0.003568,0.092485,0.146618,10.333744,0.000876,0.001430,0.103195,0.003339,0.085404,0.148890,11.621729,0.000809,0.001465,0.117159,0.003445
9,0.009600,0.088863,0.145907,11.018383,0.000841,0.001410,0.110148,0.003352,0.090916,0.149109,9.865948,0.000860,0.001455,0.098532,0.003300,0.084910,0.150227,11.254330,0.000809,0.001488,0.115450,0.003452
10,0.009550,0.081375,0.136869,10.028920,0.000766,0.001320,0.100260,0.003089,0.084697,0.131888,9.481729,0.000799,0.001281,0.094728,0.003027,0.079434,0.139407,10.958633,0.000748,0.001368,0.110967,0.003226
11,0.009500,0.077529,0.130909,9.815686,0.000728,0.001263,0.098123,0.002972,0.080710,0.133025,9.301195,0.000759,0.001295,0.092911,0.002983,0.073990,0.131370,10.880573,0.000697,0.001290,0.109523,0.003083
12,0.009450,0.073008,0.128666,9.441971,0.000683,0.001239,0.094385,0.002866,0.079337,0.154199,9.088776,0.000745,0.001511,0.090774,0.003163,0.070268,0.128742,10.839498,0.000660,0.001277,0.110228,0.003039
13,0.009400,0.070644,0.124632,9.166088,0.000659,0.001201,0.091625,0.002776,0.077797,0.130383,8.841771,0.000730,0.001267,0.088270,0.002880,0.070599,0.126046,10.261383,0.000661,0.001243,0.103297,0.002937
14,0.009350,0.072040,0.129873,9.970603,0.000673,0.001253,0.099670,0.002923,0.074331,0.122791,8.890486,0.000695,0.001191,0.088737,0.002773,0.066837,0.129205,10.351067,0.000627,0.001283,0.105131,0.002961
15,0.009300,0.150086,0.201635,54.481388,0.001452,0.001935,0.544697,0.008834,0.109884,0.159305,11.671669,0.001049,0.001555,0.116693,0.003771,0.104604,0.166890,12.752224,0.001006,0.001652,0.128985,0.003947
16,0.009250,0.092105,0.150119,11.345106,0.000873,0.001452,0.113421,0.003459,0.083064,0.141067,9.931777,0.000782,0.001372,0.099246,0.003147,0.078382,0.142801,11.112539,0.000742,0.001403,0.111367,0.003259
17,0.009200,0.078651,0.132969,9.851614,0.000739,0.001282,0.098483,0.003005,0.082377,0.127740,9.284250,0.000775,0.001239,0.092702,0.002941,0.076827,0.136591,10.197899,0.000725,0.001342,0.103227,0.003099
18,0.009150,0.072348,0.123999,9.065664,0.000676,0.001194,0.090627,0.002776,0.077956,0.125088,8.945763,0.000731,0.001214,0.089354,0.002838,0.071501,0.126732,10.033458,0.000672,0.001240,0.100771,0.002919
19,0.009100,0.067886,0.118642,8.612583,0.000631,0.001140,0.086092,0.002633,0.072641,0.124821,8.397945,0.000678,0.001213,0.083895,0.002730,0.065148,0.122383,9.406096,0.000609,0.001196,0.094943,0.002754
20,0.009050,0.065355,0.115164,8.589532,0.000606,0.001106,0.085861,0.002571,0.070956,0.115351,8.627849,0.000661,0.001117,0.086115,0.002639,0.062865,0.121012,9.474788,0.000586,0.001177,0.096540,0.002728
21,0.009000,0.062955,0.112017,8.382862,0.000582,0.001074,0.083794,0.002495,0.064960,0.109664,8.137776,0.000602,0.001058,0.081273,0.002473,0.057338,0.115617,9.061432,0.000529,0.001129,0.090859,0.002567
22,0.008950,0.059766,0.108557,7.951325,0.000551,0.001040,0.079481,0.002385,0.064478,0.111934,8.490288,0.000597,0.001082,0.084764,0.002526,0.057113,0.117834,9.427199,0.000530,0.001157,0.095686,0.002644
23,0.008900,0.058995,0.107638,8.081040,0.000543,0.001032,0.080778,0.002383,0.065689,0.109273,8.273057,0.000608,0.001053,0.082602,0.002488,0.057182,0.116762,9.186760,0.000528,0.001145,0.092871,0.002602
24,0.008850,0.057703,0.105569,7.890644,0.000530,0.001011,0.078874,0.002330,0.060865,0.102400,7.553317,0.000561,0.000986,0.075427,0.002301,0.053419,0.107298,8.531973,0.000491,0.001043,0.085692,0.002391
25,0.008800,0.056689,0.104055,7.981476,0.000520,0.000995,0.079784,0.002313,0.061065,0.106350,7.999183,0.000563,0.001027,0.079919,0.002390,0.052921,0.111903,9.229638,0.000488,0.001096,0.093700,0.002520
