epoch,lr,trainset_Energy_MAE,trainset_Force_MAE,trainset_Stress_MAE,trainset_Energy_Loss,trainset_Force_Loss,trainset_Stress_Loss,trainset_TotalLoss,validset_Energy_MAE,validset_Force_MAE,validset_Stress_MAE,validset_Energy_Loss,validset_Force_Loss,validset_Stress_Loss,validset_TotalLoss,testset_Energy_MAE,testset_Force_MAE,testset_Stress_MAE,testset_Energy_Loss,testset_Force_Loss,testset_Stress_Loss,testset_TotalLoss
1,0.010000,0.314921,0.247773,21.569412,0.003100,0.002420,0.215656,0.007676,0.199822,0.221876,19.815398,0.001946,0.002189,0.197516,0.006111,0.210737,0.233326,22.642247,0.002080,0.002303,0.237763,0.006761
2,0.009950,0.192684,0.222890,20.253329,0.001878,0.002174,0.202498,0.006077,0.167258,0.209799,17.188117,0.001622,0.002070,0.171439,0.005407,0.168814,0.220111,19.346496,0.001655,0.002168,0.197402,0.005797
3,0.009900,0.164873,0.213074,17.954289,0.001600,0.002076,0.179508,0.005471,0.149354,0.194792,14.644149,0.001443,0.001921,0.146189,0.004826,0.148314,0.203530,17.776494,0.001449,0.002004,0.180883,0.005261
4,0.009850,0.148678,0.199814,16.492638,0.001438,0.001947,0.164890,0.005034,0.135273,0.184790,13.969426,0.001303,0.001818,0.139504,0.004516,0.130773,0.192820,16.004777,0.001263,0.001897,0.161041,0.004771
5,0.009800,0.126320,0.179833,14.307114,0.001215,0.001746,0.143034,0.004391,0.114160,0.166690,12.626354,0.001092,0.001632,0.126179,0.003985,0.108576,0.177106,13.969423,0.001040,0.001745,0.141078,0.004196
6,0.009750,0.110998,0.167931,13.315228,0.001062,0.001632,0.133115,0.004025,0.108939,0.168244,12.442678,0.001040,0.001648,0.124200,0.003930,0.104327,0.176475,13.050641,0.001006,0.001775,0.132844,0.004109
7,0.009700,0.106331,0.163151,12.839819,0.001015,0.001579,0.128366,0.003878,0.118667,0.172307,13.165836,0.001137,0.001691,0.131501,0.004143,0.113686,0.174634,14.290893,0.001100,0.001727,0.144650,0.004274
8,0.009650,0.097559,0.153500,11.478209,0.000927,0.001486,0.114748,0.003561,0.097099,0.149660,10.231810,0.000921,0.001462,0.102172,0.003405,0.089666,0.148804,11.238137,0.000853,0.001475,0.113793,0.003466
9,0.009600,0.087032,0.141662,10.561105,0.000822,0.001368,0.105574,0.003246,0.087263,0.129240,9.068360,0.000824,0.001254,0.090596,0.002984,0.081701,0.138346,10.621984,0.000773,0.001359,0.107061,0.003203
10,0.009550,0.083061,0.140585,10.514510,0.000783,0.001357,0.105110,0.003191,0.084961,0.143033,9.995170,0.000801,0.001392,0.099806,0.003192,0.078813,0.143883,11.611801,0.000744,0.001415,0.117876,0.003337
11,0.009500,0.078260,0.130812,9.862552,0.000735,0.001261,0.098589,0.002982,0.081613,0.136956,9.730210,0.000768,0.001331,0.097114,0.003071,0.075504,0.139377,10.755413,0.000715,0.001376,0.108333,0.003174
12,0.009450,0.074033,0.127530,9.535738,0.000693,0.001227,0.095327,0.002873,0.075961,0.124054,9.054625,0.000711,0.001203,0.090398,0.002818,0.070145,0.127248,10.200061,0.000656,0.001246,0.102726,0.002929
13,0.009400,0.071566,0.124285,9.497593,0.000668,0.001195,0.094943,0.002813,0.071987,0.125223,9.467258,0.000671,0.001215,0.094493,0.002832,0.064770,0.129038,10.481165,0.000604,0.001259,0.105260,0.002915
14,0.009350,0.067974,0.118713,9.190129,0.000632,0.001141,0.091868,0.002692,0.069420,0.122095,8.935913,0.000646,0.001183,0.089200,0.002721,0.061871,0.122797,9.552723,0.000574,0.001216,0.096606,0.002756
15,0.009300,0.065034,0.117096,8.877823,0.000603,0.001124,0.088743,0.002615,0.065781,0.113270,9.028703,0.000610,0.001095,0.090161,0.002606,0.059168,0.117830,9.701044,0.000549,0.001157,0.098202,0.002687
16,0.009250,0.061743,0.111418,8.386498,0.000570,0.001068,0.083835,0.002476,0.066906,0.116169,8.850132,0.000621,0.001124,0.088354,0.002628,0.058752,0.117627,9.969568,0.000543,0.001140,0.100561,0.002688
17,0.009200,0.060227,0.110326,8.327988,0.000555,0.001057,0.083249,0.002445,0.066654,0.118265,8.209188,0.000618,0.001144,0.081958,0.002582,0.058673,0.117795,8.989956,0.000545,0.001156,0.090691,0.002608
18,0.009150,0.058330,0.107988,8.222769,0.000537,0.001034,0.082197,0.002393,0.067067,0.125115,8.702301,0.000622,0.001215,0.086859,0.002706,0.060413,0.116439,9.703239,0.000560,0.001133,0.097283,0.002666
19,0.009100,0.057811,0.106782,8.217230,0.000531,0.001022,0.082141,0.002375,0.069516,0.132308,8.623259,0.000647,0.001290,0.086064,0.002797,0.059998,0.111250,9.576745,0.000553,0.001074,0.096003,0.002588
20,0.009050,0.056011,0.104848,7.990129,0.000513,0.001003,0.079870,0.002315,0.062972,0.112480,7.843945,0.000582,0.001086,0.078307,0.002450,0.055850,0.113698,8.829305,0.000515,0.001117,0.089370,0.002526
21,0.009000,0.060455,0.110094,8.646559,0.000558,0.001055,0.086430,0.002477,0.060147,0.123936,7.673587,0.000554,0.001207,0.076633,0.002527,0.050769,0.107077,8.877109,0.000462,0.001028,0.089439,0.002385
22,0.008950,0.055423,0.104341,8.068145,0.000508,0.000999,0.080647,0.002313,0.058605,0.101239,7.228352,0.000538,0.000976,0.072201,0.002236,0.051812,0.104366,8.558333,0.000474,0.001014,0.086567,0.002354
23,0.008900,0.053172,0.099782,7.659350,0.000485,0.000953,0.076559,0.002204,0.057370,0.103187,7.493391,0.000526,0.000996,0.074854,0.002271,0.049641,0.103763,8.601382,0.000452,0.001009,0.087075,0.002332
24,0.008850,0.051415,0.098528,7.691015,0.000468,0.000940,0.076878,0.002177,0.061430,0.107818,7.776736,0.000567,0.001043,0.077594,0.002386,0.052779,0.103411,8.791996,0.000486,0.000998,0.089536,0.002380
25,0.008800,0.050753,0.096511,7.453445,0.000461,0.000920,0.074501,0.002126,0.055970,0.106876,7.981428,0.000512,0.001032,0.079693,0.002341,0.049304,0.108189,8.707899,0.000449,0.001062,0.088188,0.002393
26,0.008750,0.049641,0.095032,7.288158,0.000450,0.000905,0.072849,0.002084,0.059679,0.096569,7.637848,0.000549,0.000927,0.076260,0.002238,0.050491,0.103280,8.501150,0.000461,0.001008,0.086464,0.002333
27,0.008700,0.049285,0.094923,7.353257,0.000447,0.000905,0.073503,0.002087,0.057253,0.108762,8.523892,0.000525,0.001053,0.085098,0.002429,0.049961,0.111200,9.834135,0.000456,0.001091,0.100143,0.002549
28,0.008650,0.047766,0.092068,7.037314,0.000432,0.000875,0.070346,0.002011,0.056411,0.105489,7.267342,0.000517,0.001018,0.072537,0.002260,0.048507,0.103000,8.392568,0.000440,0.000994,0.084515,0.002279
29,0.008600,0.047667,0.092188,7.203964,0.000431,0.000877,0.072008,0.002027,0.054577,0.099323,7.494325,0.000498,0.000956,0.074785,0.002202,0.046174,0.096800,8.322666,0.000418,0.000930,0.084100,0.002189
30,0.008550,0.046028,0.090144,6.892224,0.000415,0.000856,0.068894,0.001959,0.055399,0.099232,7.086260,0.000506,0.000956,0.070739,0.002169,0.047883,0.095047,8.364397,0.000435,0.000909,0.084163,0.002186
