epoch,lr,trainset_Energy_MAE,trainset_Force_MAE,trainset_Stress_MAE,trainset_Energy_Loss,trainset_Force_Loss,trainset_Stress_Loss,trainset_TotalLoss,validset_Energy_MAE,validset_Force_MAE,validset_Stress_MAE,validset_Energy_Loss,validset_Force_Loss,validset_Stress_Loss,validset_TotalLoss,testset_Energy_MAE,testset_Force_MAE,testset_Stress_MAE,testset_Energy_Loss,testset_Force_Loss,testset_Stress_Loss,testset_TotalLoss
1,0.010000,0.311525,0.248701,21.632900,0.003066,0.002429,0.216292,0.007658,0.202760,0.215643,19.922310,0.001975,0.002128,0.198627,0.006090,0.210001,0.226996,22.245092,0.002070,0.002241,0.226930,0.006580
2,0.009950,0.186394,0.222869,19.874231,0.001815,0.002174,0.198708,0.005976,0.165131,0.217383,16.281745,0.001601,0.002147,0.162525,0.005373,0.167010,0.227159,18.431285,0.001637,0.002243,0.185360,0.005733
3,0.009900,0.157581,0.209978,17.205700,0.001527,0.002047,0.172020,0.005294,0.138519,0.204713,14.638366,0.001335,0.002019,0.146266,0.004816,0.137047,0.211679,16.183853,0.001337,0.002087,0.162568,0.005049
4,0.009850,0.136411,0.195003,15.525791,0.001315,0.001898,0.155220,0.004766,0.125775,0.188911,14.345729,0.001208,0.001859,0.143346,0.004500,0.122485,0.191324,16.523829,0.001185,0.001881,0.165253,0.004718
5,0.009800,0.122831,0.178602,14.078489,0.001180,0.001735,0.140747,0.004323,0.126666,0.329174,13.640261,0.001216,0.003294,0.136224,0.005872,0.111625,0.176287,13.564540,0.001070,0.001740,0.136533,0.004175
6,0.009750,0.108313,0.164969,12.856275,0.001035,0.001600,0.128526,0.003920,0.107058,0.150999,11.152389,0.001021,0.001474,0.111454,0.003610,0.101661,0.164650,12.617450,0.000973,0.001626,0.126468,0.003864
7,0.009700,0.099003,0.153651,11.867932,0.000942,0.001489,0.118644,0.003618,0.102095,0.166710,11.130393,0.000972,0.001636,0.111166,0.003719,0.094227,0.157491,12.105763,0.000897,0.001547,0.122244,0.003667
8,0.009650,0.091382,0.148126,11.221560,0.000866,0.001434,0.112180,0.003421,0.093308,0.147043,9.648578,0.000884,0.001436,0.096430,0.003284,0.086494,0.148303,10.884263,0.000824,0.001475,0.110395,0.003403
9,0.009600,0.084485,0.138188,10.461803,0.000797,0.001334,0.104585,0.003177,0.084313,0.133768,9.569732,0.000795,0.001301,0.095568,0.003051,0.078275,0.136884,10.548456,0.000741,0.001353,0.107097,0.003165
10,0.009550,0.078694,0.132239,9.754591,0.000739,0.001276,0.097512,0.002990,0.084384,0.138674,9.573782,0.000795,0.001351,0.095590,0.003102,0.076749,0.133718,10.752970,0.000723,0.001309,0.108328,0.003116
11,0.009500,0.094408,0.176735,12.062191,0.000896,0.001714,0.120583,0.003816,0.087173,0.140222,9.972842,0.000823,0.001368,0.099545,0.003187,0.081868,0.143561,11.196310,0.000783,0.001414,0.114003,0.003336
12,0.009450,0.076968,0.132420,9.959542,0.000722,0.001277,0.099562,0.002995,0.074994,0.135378,9.220217,0.000702,0.001318,0.092032,0.002940,0.068495,0.129521,10.458502,0.000642,0.001264,0.105621,0.002963
13,0.009400,0.071521,0.124280,9.416939,0.000668,0.001196,0.094135,0.002805,0.075263,0.126916,8.936226,0.000704,0.001233,0.089254,0.002829,0.066464,0.125384,9.667649,0.000621,0.001221,0.096935,0.002811
14,0.009350,0.067828,0.119591,8.920791,0.000631,0.001150,0.089174,0.002673,0.076656,0.121664,8.492389,0.000719,0.001177,0.084844,0.002744,0.068024,0.124395,9.994656,0.000637,0.001221,0.100921,0.002867
15,0.009300,0.065668,0.116939,8.852518,0.000609,0.001123,0.088492,0.002618,0.072233,0.120816,8.998297,0.000674,0.001172,0.089809,0.002744,0.063043,0.120563,9.924308,0.000589,0.001178,0.101166,0.002779
16,0.009250,0.063801,0.114681,8.580200,0.000591,0.001102,0.085773,0.002551,0.069738,0.118295,9.157827,0.000649,0.001147,0.091400,0.002709,0.060470,0.121945,10.026833,0.000562,0.001193,0.101831,0.002774
17,0.009200,0.063063,0.112950,8.540193,0.000584,0.001084,0.085366,0.002521,0.067238,0.120376,8.435041,0.000625,0.001166,0.084207,0.002633,0.060248,0.125382,9.977791,0.000561,0.001235,0.101604,0.002812
18,0.009150,0.060693,0.110984,8.324442,0.000560,0.001065,0.083213,0.002457,0.073644,0.130762,8.656734,0.000687,0.001275,0.086501,0.002828,0.067175,0.131123,10.126630,0.000631,0.001286,0.102286,0.002940
19,0.009100,0.059708,0.109397,8.137255,0.000550,0.001049,0.081342,0.002412,0.065389,0.113226,8.244293,0.000606,0.001096,0.082347,0.002525,0.057307,0.108020,9.542844,0.000528,0.001038,0.096749,0.002533
20,0.009050,0.056481,0.105198,7.961081,0.000518,0.001007,0.079577,0.002321,0.060780,0.114225,8.521682,0.000560,0.001104,0.085078,0.002515,0.052998,0.115434,9.618096,0.000487,0.001134,0.097117,0.002592
21,0.009000,0.055410,0.103501,7.761042,0.000507,0.000990,0.077578,0.002273,0.062653,0.123557,7.965246,0.000579,0.001202,0.079491,0.002576,0.053654,0.108412,9.178888,0.000492,0.001044,0.093312,0.002469
22,0.008950,0.053605,0.101416,7.705962,0.000490,0.000968,0.077028,0.002228,0.058930,0.109886,7.546835,0.000542,0.001064,0.075333,0.002359,0.049439,0.105117,8.277747,0.000450,0.001016,0.083617,0.002302
23,0.008900,0.052943,0.100572,7.541939,0.000483,0.000960,0.075388,0.002197,0.062091,0.125091,7.595442,0.000573,0.001218,0.075833,0.002549,0.052992,0.105388,8.679625,0.000483,0.001010,0.087211,0.002366
24,0.008850,0.052805,0.099938,7.592981,0.000482,0.000953,0.075895,0.002194,0.059728,0.105825,7.500645,0.000551,0.001023,0.074899,0.002323,0.050753,0.103385,8.654819,0.000462,0.000996,0.086797,0.002327
25,0.008800,0.052380,0.099894,7.679182,0.000477,0.000954,0.076758,0.002199,0.056990,0.106432,7.888603,0.000523,0.001032,0.078731,0.002343,0.046407,0.107784,8.748946,0.000420,0.001060,0.088488,0.002365
26,0.008750,0.049704,0.096302,7.368035,0.000451,0.000918,0.073650,0.002106,0.056024,0.105900,6.997644,0.000513,0.001021,0.069864,0.002233,0.048088,0.105311,8.226500,0.000438,0.001032,0.082715,0.002298
27,0.008700,0.048927,0.094458,7.257804,0.000443,0.000900,0.072546,0.002068,0.057191,0.100362,8.017386,0.000525,0.000968,0.080033,0.002293,0.047376,0.097786,8.717851,0.000429,0.000939,0.087583,0.002243
28,0.008650,0.048816,0.095117,7.342859,0.000442,0.000907,0.073397,0.002083,0.058071,0.110343,7.262586,0.000533,0.001067,0.072501,0.002325,0.051692,0.104677,8.789280,0.000473,0.001014,0.089127,0.002379
29,0.008600,0.048834,0.093098,7.273577,0.000442,0.000886,0.072701,0.002055,0.057685,0.095473,7.340654,0.000530,0.000918,0.073281,0.002181,0.048544,0.095287,8.286108,0.000441,0.000923,0.083479,0.002199
30,0.008550,0.045975,0.090606,6.982446,0.000414,0.000861,0.069791,0.001973,0.053459,0.098155,7.327224,0.000488,0.000944,0.073135,0.002164,0.045711,0.098478,8.502211,0.000414,0.000953,0.085660,0.002224
31,0.008500,0.046151,0.089967,6.909272,0.000416,0.000855,0.069060,0.001961,0.054717,0.102252,7.540215,0.000501,0.000987,0.075251,0.002240,0.046504,0.101709,8.713151,0.000420,0.000986,0.087641,0.002283
32,0.008450,0.046918,0.092310,7.232508,0.000423,0.000879,0.072292,0.002025,0.052225,0.091490,7.416930,0.000475,0.000878,0.074041,0.002093,0.043346,0.095234,8.460710,0.000388,0.000914,0.084918,0.002151
33,0.008400,0.045730,0.088042,6.797929,0.000412,0.000836,0.067946,0.001927,0.053396,0.091438,6.998622,0.000487,0.000878,0.069846,0.002064,0.044120,0.095598,8.672083,0.000397,0.000931,0.087000,0.002198
34,0.008350,0.043320,0.086954,6.612544,0.000388,0.000825,0.066094,0.001873,0.052307,0.094331,6.938362,0.000476,0.000907,0.069241,0.002075,0.043609,0.095589,8.059038,0.000392,0.000933,0.080691,0.002131
35,0.008300,0.043355,0.086358,6.596247,0.000388,0.000819,0.065929,0.001867,0.050640,0.095756,6.941855,0.000460,0.000920,0.069306,0.002073,0.042189,0.094292,8.140254,0.000378,0.000908,0.081492,0.002101
36,0.008250,0.043170,0.085099,6.577165,0.000386,0.000806,0.065739,0.001850,0.051521,0.088563,7.110746,0.000469,0.000847,0.070976,0.002026,0.042646,0.092583,8.097414,0.000382,0.000888,0.081638,0.002086
37,0.008200,0.042589,0.084459,6.575812,0.000381,0.000800,0.065725,0.001838,0.048860,0.092006,6.429313,0.000442,0.000883,0.064209,0.001967,0.040274,0.095002,7.678371,0.000359,0.000926,0.077055,0.002056
38,0.008150,0.041824,0.083328,6.444741,0.000373,0.000789,0.064414,0.001806,0.049527,0.088800,7.335507,0.000449,0.000850,0.073228,0.002031,0.042074,0.091666,8.396013,0.000377,0.000887,0.084762,0.002112
39,0.008100,0.041666,0.083713,6.427261,0.000371,0.000793,0.064239,0.001806,0.049254,0.085928,7.130088,0.000446,0.000821,0.071175,0.001979,0.041233,0.089319,8.152826,0.000368,0.000851,0.081916,0.002039
40,0.008050,0.040597,0.081767,6.304324,0.000361,0.000773,0.063011,0.001764,0.047033,0.091306,6.902469,0.000425,0.000876,0.068898,0.001990,0.038875,0.094816,8.158142,0.000347,0.000914,0.083134,0.002093
41,0.008000,0.040581,0.082267,6.339985,0.000361,0.000778,0.063367,0.001773,0.050028,0.090780,7.245905,0.000453,0.000870,0.072299,0.002046,0.041705,0.094656,7.841575,0.000374,0.000922,0.078953,0.002085
42,0.007950,0.040464,0.081232,6.302946,0.000360,0.000768,0.062995,0.001758,0.049690,0.087794,7.040043,0.000450,0.000839,0.070276,0.001992,0.041542,0.093513,7.885178,0.000372,0.000908,0.079102,0.002071
