epoch,lr,trainset_Energy_MAE,trainset_Force_MAE,trainset_Stress_MAE,trainset_Energy_Loss,trainset_Force_Loss,trainset_Stress_Loss,trainset_TotalLoss,validset_Energy_MAE,validset_Force_MAE,validset_Stress_MAE,validset_Energy_Loss,validset_Force_Loss,validset_Stress_Loss,validset_TotalLoss
1,1991,0.010000,0.372112,0.550843,23.170104,0.003672,0.005481,0.231651,0.011469,0.135818,0.285280,14.927327,0.001309,0.002807,0.149257,0.005608
1,3981,0.010000,0.092153,0.215066,12.296971,0.000873,0.002103,0.122920,0.004205,0.072112,0.179716,10.521983,0.000673,0.001750,0.105206,0.003475
1,5971,0.009999,0.068444,0.173880,10.636142,0.000636,0.001690,0.106311,0.003390,0.065669,0.164215,9.746756,0.000609,0.001594,0.097449,0.003177
1,7962,0.009999,0.060715,0.160535,9.798116,0.000559,0.001558,0.097931,0.003097,0.053275,0.154575,9.294195,0.000485,0.001498,0.092920,0.002913
1,9952,0.009998,0.054985,0.150572,9.356261,0.000502,0.001458,0.093513,0.002895,0.051210,0.144224,8.797765,0.000465,0.001395,0.087956,0.002739
1,11942,0.009996,0.054700,0.150916,9.617528,0.000500,0.001462,0.096125,0.002923,0.045884,0.141789,8.652640,0.000412,0.001370,0.086505,0.002647
1,13932,0.009994,0.049240,0.140134,8.889326,0.000445,0.001354,0.088843,0.002687,0.044815,0.136330,8.439595,0.000401,0.001315,0.084374,0.002560
1,15923,0.009992,0.047948,0.136375,8.676162,0.000432,0.001316,0.086712,0.002616,0.041401,0.134798,8.355526,0.000368,0.001301,0.083537,0.002504
1,17913,0.009990,0.045938,0.133479,8.550406,0.000412,0.001287,0.085454,0.002554,0.043242,0.130415,8.165717,0.000386,0.001256,0.081640,0.002459
1,19903,0.009987,0.054118,0.152966,10.346270,0.000494,0.001484,0.103413,0.003012,0.069451,0.239120,13.759296,0.000647,0.002345,0.137573,0.004367
1,21893,0.009985,0.050955,0.158603,9.672167,0.000462,0.001539,0.096672,0.002968,0.045400,0.141647,10.949045,0.000407,0.001368,0.109429,0.002870
1,23884,0.009981,0.043954,0.133547,8.680344,0.000393,0.001289,0.086754,0.002549,0.040014,0.129735,8.393686,0.000354,0.001250,0.083919,0.002443
1,25874,0.009978,0.062892,0.164179,11.013955,0.000582,0.001597,0.110090,0.003280,0.048809,0.147904,8.917757,0.000441,0.001431,0.089164,0.002763
1,27864,0.009974,0.046101,0.137032,8.627864,0.000414,0.001323,0.086229,0.002599,0.039915,0.130153,8.218045,0.000353,0.001254,0.082161,0.002428
1,29855,0.009970,0.043231,0.128981,8.360724,0.000386,0.001242,0.083557,0.002463,0.046427,0.126323,8.058907,0.000417,0.001216,0.080569,0.002439
1,31845,0.009965,0.041857,0.126864,8.325894,0.000372,0.001221,0.083209,0.002425,0.045278,0.123845,7.994777,0.000406,0.001191,0.079930,0.002396
1,33835,0.009960,0.041021,0.123404,8.139606,0.000364,0.001187,0.081346,0.002364,0.035667,0.121732,7.832917,0.000311,0.001169,0.078310,0.002263
1,35825,0.009955,0.039198,0.120948,8.161816,0.000346,0.001162,0.081568,0.002323,0.048363,0.117913,7.766347,0.000436,0.001131,0.077639,0.002344
1,37816,0.009950,0.037819,0.118820,7.979843,0.000332,0.001141,0.079749,0.002270,0.035294,0.117271,7.872831,0.000307,0.001125,0.078707,0.002219
1,39806,0.009944,0.038182,0.118879,8.078680,0.000335,0.001141,0.080737,0.002284,0.042613,0.115761,7.647352,0.000379,0.001110,0.076453,0.002254
