,formula_pretty,material_id,task_id,space_group,bravais_lattice,vol
0,Ac,mp-862690,mp-862690,P6_3/mmc,hcp,46.13635019215516
0,Ac,mp-862690,mp-2875025,P6_3/mmc,hcp,46.13635019215516
1,Ac,mp-10018,mp-10018,Fm-3m,fcc,46.205987384126566
1,Ac,mp-10018,mp-2423066,Fm-3m,fcc,46.205987384126566
2,Np,mp-10207,mp-10207,Im-3m,bcc,16.397712713966275
2,Np,mp-10207,mp-2772741,Im-3m,bcc,16.397712713966275
3,Pa,mp-1186367,mp-1186367,P6_3/mmc,hcp,24.753156370613333
4,Pa,mp-10740,mp-10740,Fm-3m,fcc,25.2149024698699
4,Pa,mp-10740,mp-1056244,Fm-3m,fcc,25.2149024698699
4,Pa,mp-10740,mp-2418429,Fm-3m,fcc,25.2149024698699
5,Pu,mp-114,mp-114,Fm-3m,fcc,25.16236477332658
5,Pu,mp-114,mp-1056750,Fm-3m,fcc,25.16236477332658
5,Pu,mp-114,mp-2355193,Fm-3m,fcc,25.16236477332658
6,Pu,mp-107,mp-107,Im-3m,bcc,15.242707749720836
6,Pu,mp-107,mp-20607,Im-3m,bcc,15.242707749720836
7,Th,mp-37,mp-37,Fm-3m,fcc,32.144276686139456
7,Th,mp-37,mp-11448,Fm-3m,fcc,32.144276686139456
7,Th,mp-37,mp-1056776,Fm-3m,fcc,32.144276686139456
7,Th,mp-37,mp-2369376,Fm-3m,fcc,32.144276686139456
8,Th,mp-11343,mp-11343,Im-3m,bcc,32.90184866486211
8,Th,mp-11343,mp-2349517,Im-3m,bcc,32.90184866486211
9,U,mp-1008669,mp-1008669,Fm-3m,fcc,19.987237881151405
9,U,mp-1008669,mp-1056360,Fm-3m,fcc,19.987237881151405
9,U,mp-1008669,mp-1056442,Fm-3m,fcc,19.987237881151405
9,U,mp-1008669,mp-2351858,Fm-3m,fcc,19.987237881151405
10,U,mp-108,mp-108,Im-3m,bcc,18.68758776197388
10,U,mp-108,mp-1056731,Im-3m,bcc,18.68758776197388
10,U,mp-108,mp-2458710,Im-3m,bcc,18.68758776197388
11,Ag,mp-10597,mp-10597,P6_3/mmc,hcp,17.38606541401753
11,Ag,mp-10597,mp-2523818,P6_3/mmc,hcp,17.38606541401753
12,Ag,mp-8566,mp-8566,P6_3/mmc,hcp,17.364237547804233
12,Ag,mp-8566,mp-2651334,P6_3/mmc,hcp,17.364237547804233
13,Ag,mp-124,mp-1056330,Fm-3m,fcc,17.28523120082949
13,Ag,mp-124,mp-124,Fm-3m,fcc,17.28523120082949
13,Ag,mp-124,mp-2383811,Fm-3m,fcc,17.28523120082949
14,Ag,mp-2646971,mp-2647003,Im-3m,bcc,18.153849863758666
15,Ba,mp-56,mp-56,P6_3/mmc,hcp,67.68090922908746
15,Ba,mp-56,mp-1228735,P6_3/mmc,hcp,67.68090922908746
15,Ba,mp-56,mp-2647524,P6_3/mmc,hcp,67.68090922908746
16,Ba,mp-10679,mp-10679,Fm-3m,fcc,67.56349392648343
17,Ba,mp-122,mp-122,Im-3m,bcc,64.99909048758406
17,Ba,mp-122,mp-1056299,Im-3m,bcc,64.99909048758406
17,Ba,mp-122,mp-1056246,Im-3m,bcc,64.99909048758406
17,Ba,mp-122,mp-2579067,Im-3m,bcc,64.99909048758406
18,Cd,mp-1183591,mp-1183591,P6_3/mmc,hcp,21.6055087440188
19,Cd,mp-94,mp-94,P6_3/mmc,hcp,22.30751928950665
19,Cd,mp-94,mp-1059606,P6_3/mmc,hcp,22.30751928950665
19,Cd,mp-94,mp-2464594,P6_3/mmc,hcp,22.30751928950665
20,Cd,mp-1096861,mp-1096861,Fm-3m,fcc,21.82742895475344
21,Cd,mp-2647135,mp-2647135,Im-3m,bcc,22.723733218584616
22,Ce,mp-20372,mp-20372,P6_3/mmc,hcp,25.92035337454378
